Year,Title,Role,Director
2017,Raja 2,Pokkiri Raja,Vysakh
2017,Kozhi Thankachan,Thankachan,Sethu
2017,Pullikkaran Stara,K. Rajakumaran,Shyamdhar
2017,Masterpiece,Edward Livingstone,Ajai vasudev
2017,Puthan Panam,Nithyananda Shenoy,Ranjith
2017,The Great Father,David,Haneef Adeni
2016,Thoppil Joppan,Thoppil Joppan,Johny Antony
2016,White,Prakash Roy,Uday Ananthan
2016,Kasaba,Rajan Zachariah,Nithin Renji Panicker
2016,Puthiya Niyamam,Adv. Louis Pothen,A. K. Sajan
2015,Pathemari,Pallikal Narayanan,Salim Ahamed
2015,Utopiayile Rajavu,C.V. Swathanthran,Kamal
2015,Acha Dhin,Durgadas,Marthandan
2015,Bhaskar the Rascal,Bhaskar,Siddique
2015,Fireman,Vijay,Deepu Karunakaran
2014,Varsham,P.K.Venugopal,Ranjith Sankar
2014,RajadhiRaja,Shekharan Kutty aka Rajashekhar/ Raja,Cheran (director)
2014,Munnariyippu,CK Raghavan,Venu
2014,Manglish,Malik Bhai,Salam Bappu
2014,Gangster,Akbar Ali Khan,Aashiq Abu
2014,Praise the Lord,Joy,Shibu Ganghadharan
2014,Balyakalasakhi,Majeed/Majeed's father,Pramod Payyannur
2013,Silence,Aravind Chandrasekhar,V. K. Prakash
2013,Daivathinte Swantham Cleetus,Cleetus,G.Marthandan
2013,Kunjananthante Kada,Kunjananthan,Salim Ahamed
2013,Kadal Kadannoru Mathukkutty,Matthew George aka Mathukkutty,Renjith
2013,Immanuel,Immanuel,Lal Jose
2013,Proprietors: Kammath & Kammath,Raja Raja Kammath,Thomson
2012,Bavuttiyude Namathil,Bavutty,G. S. Vijayan
2012,Face2Face,Balachandran,V. M. Vinu
2012,Jawan of Vellimala,Gopi Krishan,Anoop Kannan
2012,Thappana,Samson,Johny Antony
2012,Cobra,Raja/Shivadas Naidu,Lal
2012,The King & the Commissioner,Joseph Alex Thevliparambil,Shaji Kailas
2011,Venicile Vyapari,Pavithran,Shafi
2011,Bombay March 12,Sameer (Sanathanan Bhat),Babu Janardhanan
2011,The Train,Kedarnath,Jayaraj
2011,Doubles,Giri,Sohan Seenulal
2011,August 15,Perumal,Shaji Kailas
2010,Best Actor,Mohan,Martin Prackat
2010,Best of Luck,Himself (cameo),M. A. Nishad
2010,Pranchiyettan & the Saint,Chirammal Enashu Francis,Ranjith
2010,Kutty Srank,Kutty Shranku,Shaji N. Karun
2010,Pokkiri Raja,Madhurai Raja,Vyshakh Abraham
2010,Pramaani,Vishwanatha Panicker,B Unnikrishnan
2010,Yugapurushan,K C Kuttan,R. Sukumaran
2010,Drona 2010,Madhavan/Kunjunni,Shaji Kailas
2009,Chattambinaadu,Virendra Mallayya,Shafi
