Year,Title,Role,Age
2017,The Great Father,David,66
2017,Raja 2,Pokkiri Raja,66
2017,Puthan Panam,Nithyananda Shenoy,66
2017,Pullikkaran Stara,K. Rajakumaran,66
2017,Peranbu,,66
2017,Masterpiece,Edward Livingstone,66
2017,Kozhi Thankachan,Thankachan,66
2016,White,Prakash Roy,65
2016,Thoppil Joppan,Thoppil Joppan,65
2016,Puthiya Niyamam,Adv. Louis Pothen,65
2016,Kasaba,Rajan Zachariah,65
2015,Utopiayile Rajavu,C.V. Swathanthran,64
2015,Pathemari,Pallikal Narayanan,64
2015,Fireman,Vijay,64
2015,Bhaskar the Rascal,Bhaskar,64
2015,Acha Dhin,Durgadas,64
2014,Varsham,P.K.Venugopal,63
2014,RajadhiRaja,Shekharan Kutty aka Rajashekhar/ Raja,63
2014,Praise the Lord,Joy,63
2014,Munnariyippu,CK Raghavan,63
2014,Manglish,Malik Bhai,63
2014,Gangster,Akbar Ali Khan,63
2014,Balyakalasakhi,Majeed/Majeed's father,63
2013,Silence,Aravind Chandrasekhar,62
2013,Proprietors: Kammath & Kammath,Raja Raja Kammath,62
2013,Kunjananthante Kada,Kunjananthan,62
2013,Kadal Kadannoru Mathukkutty,Matthew George aka Mathukkutty,62
2013,Immanuel,Immanuel,62
2013,Daivathinte Swantham Cleetus,Cleetus,62
2012,The King & the Commissioner,Joseph Alex Thevliparambil,61
2012,Thappana,Samson,61
2012,Jawan of Vellimala,Gopi Krishan,61
2012,Face2Face,Balachandran,61
2012,Cobra,Raja/Shivadas Naidu,61
2012,Bavuttiyude Namathil,Bavutty,61
2011,Venicile Vyapari,Pavithran,60
2011,The Train,Kedarnath,60
2011,Doubles,Giri,60
2011,Bombay March 12,Sameer (Sanathanan Bhat),60
2011,August 15,Perumal,60
2010,Yugapurushan,K C Kuttan,59
2010,Vandae Maatharam,Gopikrishnan,59
2010,Pranchiyettan & the Saint,Chirammal Enashu Francis,59
2010,Pramaani,Vishwanatha Panicker,59
2010,Pokkiri Raja,Madhurai Raja,59
2010,Kutty Srank,Kutty Shranku,59
2010,Drona 2010,Madhavan/Kunjunni,59
2010,Best of Luck,Himself (cameo),59
2010,Best Actor,Mohan,59
2009,Pazhassi Raja,Kerala Varma Pazhassi Raja,58
2009,Paleri Manikyam: Oru Pathirakolapathakathinte Katha,Haridas/Ahmed Haji/Khalid Ahmed,58
2009,Love In Singapore,Machu,58
2009,Loudspeaker,Philipose aka 'Mike',58
2009,Kerala Cafe,Unnamed,58
2009,Ee Pattanathil Bhootham,Jimmy/Genie (Double Role),58
2009,Daddy Cool,Antony Simon,58
